id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
42,42,Feminino,19 a 35 anos,Mestre,acima de 1 ate 3,4,Silvania,32,mais de uma hora a duas horas,15.8,Álcool,8,0,1,1,3.65,57.67,57.67,Silvania,8,485,4.336363636363637,0,0,1,1
43,43,Feminino,36 a 59 anos,Especializacao completa,acima de 5,2,Silvania,68,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,1818,4.821090909090909,1,0,0,1
44,44,Masculino,19 a 35 anos,Graduacao completa,acima de 3 ate 5,4,Silvania,70,mais de uma hora a duas horas,15.8,Gasolina,8,1,1,1,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,0,0,0,0
45,45,Masculino,60 anos ou mais,Mestrado incompleto,acima de 5,4,Brasilia,346,mais de duas horas,418,Gasolina,0,1,1,0,5.87,2453.66,2453.66,Brasilia,180,1818,108.47454545454546,1,0,0,0
46,46,Feminino,19 a 35 anos,Especializacao completa,acima de 3 ate 5,3,Brasilia,350,mais de uma hora a duas horas,418,Gasolina,0,1,1,1,5.87,2453.66,2453.66,Brasilia,180,970,101.53636363636365,0,0,0,1
47,47,Feminino,36 a 59 anos,Ensino completo,acima de 3 ate 5,12,Silvania,68,mais de duas horas,15.8,Gasolina,8,1,0,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,1,0,1
48,48,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,120,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
49,49,Masculino,36 a 59 anos,Especializacao incompleta,acima de 5,3,Vianopolis,170,mais de uma hora a duas horas,54.4,Gasolina,27.2,1,1,0,5.87,319.328,319.328,Vianopolis,27.2,1818,16.391709090909092,1,0,0,0
50,50,Feminino,36 a 59 anos,Mestre,acima de 5,5,Silvania,32,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,1818,4.821090909090909,1,0,0,1
51,51,Feminino,36 a 59 anos,Graduacao completa,ate 1,1,Silvania,35,mais de duas horas,15.8,Diesel,8,0,1,0,6.18,97.644,97.644,Silvania,8,121,4.204,1,0,1,1
52,52,Feminino,36 a 59 anos,Graduacao completa,acima de 1 ate 3,1,Silvania,68,mais de duas horas,15.8,Gasolina,8,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,1
53,53,Feminino,36 a 59 anos,Mestre,acima de 5,2,Silvania,68,ate meia hora,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,1818,4.821090909090909,1,0,0,1
54,54,Masculino,36 a 59 anos,Graduacao completa,acima de 5,5,Silvania,68,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,1818,4.821090909090909,1,0,0,0
55,55,Feminino,19 a 35 anos,Especializacao completa,acima de 3 ate 5,1,Goiania,180,mais de meia hora ate uma hora,146.2,Álcool,73.1,1,1,1,3.65,533.63,533.63,Goiania,73.1,970,41.23504545454546,0,0,0,1
56,56,Feminino,19 a 35 anos,Especializacao completa,acima de 1 ate 3,1,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,0,1,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,0,1,1
57,57,Feminino,36 a 59 anos,Mestrado incompleto,acima de 5,1,Silvania,32,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,1818,4.821090909090909,1,0,0,1
58,58,Feminino,19 a 35 anos,Especializacao completa,acima de 5,1,Silvania,32,mais de meia hora ate uma hora,15.8,Gasolina,8,1,1,1,5.87,92.746,92.746,Silvania,8,1818,4.821090909090909,0,0,0,1
59,59,Feminino,36 a 59 anos,Graduacao completa,acima de 1 ate 3,4,Silvania,68,mais de meia hora ate uma hora,15.8,Gasolina,8,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,1
60,60,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,5,Silvania,70,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,1
61,61,Feminino,19 a 35 anos,Mestre,acima de 3 ate 5,1,Silvania,32,mais de duas horas,15.8,Diesel,8,1,1,1,6.18,97.644,97.644,Silvania,8,970,4.512727272727273,0,0,0,1
62,62,Feminino,19 a 35 anos,Especializacao completa,acima de 1 ate 3,1,Morrinhos,320,mais de duas horas,376,Diesel,0,0,1,1,6.18,2323.68,2323.68,Morrinhos,187,485,101.36250000000001,0,0,1,1
63,63,Masculino,19 a 35 anos,Doutorado incompleto,acima de 1 ate 3,1,Morrinhos,320,mais de duas horas,376,Diesel,0,0,1,1,6.18,2323.68,2323.68,Morrinhos,187,485,101.36250000000001,0,0,1,0
64,64,Feminino,36 a 59 anos,Doutorado incompleto,acima de 5,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,1,1,0,6.18,723.06,723.06,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
65,65,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,0,1,5.87,686.79,686.79,Anapolis,58.5,121,30.741750000000003,0,1,1,1
66,66,Masculino,36 a 59 anos,Mestrado incompleto,acima de 5,1,Goiania,180,mais de duas horas,146.2,Álcool,73.1,1,1,0,3.65,533.63,533.63,Goiania,73.1,1818,44.05271818181818,1,0,0,0
67,67,Feminino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,1
68,68,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
69,69,Feminino,36 a 59 anos,Mestrado incompleto,acima de 5,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,1,1,0,6.18,723.06,723.06,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
70,70,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,6,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
71,71,Masculino,19 a 35 anos,Doutorado incompleto,acima de 1 ate 3,6,Goiania,180,mais de duas horas,146.2,Gasolina,73.1,0,1,1,5.87,858.194,858.194,Goiania,73.1,485,39.62352272727273,0,0,1,0
72,72,Feminino,36 a 59 anos,Mestre,acima de 5,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,1,1,0,6.18,723.06,723.06,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
73,73,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,6,Silvania,32,mais de duas horas,15.8,Álcool,8,1,1,0,3.65,57.67,57.67,Silvania,8,970,4.512727272727273,1,0,0,1
74,74,Masculino,19 a 35 anos,Mestrado incompleto,acima de 3 ate 5,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,1,1,1,6.18,723.06,723.06,Anapolis,58.5,970,32.99931818181818,0,0,0,0
