"","...1","sex","age","schooling","income","visitation","start","deslocation_time","permanence","fuel_consumption","vehicle_with_engine","distance","age_dummy","schooling_dummy","years_dummy","fuel_price","fuel_cost","travel_cost"
"145",145,"Feminino","19 a 35 anos","Graduacao incompleta","acima de 1 ate 3",6,"Silvânia",32,"mais de duas horas",15.8,"Álcool",0,0,0,1,3.65,57.67,57.67
"146",146,"Masculino","19 a 35 anos","Ensino medio incompleto","acima de 3 ate 5",6,"Silvânia",32,"mais de meia hora ate uma hora",15.8,"Álcool",0,1,0,1,3.65,57.67,57.67
"147",147,"Masculino","36 a 59 anos",NA,"acima de 1 ate 3",6,"Silvânia",30,"mais de duas horas",15.8,"Álcool",0,0,0,0,3.65,57.67,57.67
"148",148,"Masculino","36 a 59 anos","Graduacao completa","acima de 1 ate 3",6,"Silvânia",32,"mais de uma hora a duas horas",15.8,"Álcool",0,0,1,0,3.65,57.67,57.67
"149",149,"Feminino","36 a 59 anos","Especializacao incompleta","acima de 1 ate 3",6,"Silvânia",32,"mais de duas horas",15.8,"Gasolina",0,0,1,0,5.87,92.746,92.746
"150",150,"Masculino","36 a 59 anos","Especializacao completa","acima de 3 ate 5",2,"Silvânia",40,"mais de meia hora ate uma hora",15.8,"Gasolina",0,1,1,0,5.87,92.746,92.746
"151",151,"Feminino","36 a 59 anos","Ensino completo","acima de 1 ate 3",4,"Silvânia",32,"mais de duas horas",15.8,"Gasolina",0,0,0,0,5.87,92.746,92.746
"152",152,"Masculino","18 anos",NA,"ate 1",2,"Silvânia",40,"mais de meia hora ate uma hora",15.8,"Gasolina",0,0,0,1,5.87,92.746,92.746
"153",153,"Masculino","18 anos",NA,"ate 1",1,"Silvânia",40,"ate meia hora",15.8,"Gasolina",0,0,0,1,5.87,92.746,92.746
"154",154,"Masculino","18 anos",NA,"ate 1",2,"Silvânia",40,"mais de uma hora a duas horas",15.8,"Gasolina",0,0,0,1,5.87,92.746,92.746
